Review_Text,Review,Sentimen_Asli,Sentimen_Prediksi
"Ceritanya bagus, tapi pas ngelawan monster, keliling kota aku ngga tau mau kemana, soalnya layarnya hitam semua kecuali karakternya",cerita bagus pas lawan monster keliling kota tau mana layar hitam kecuali karakter,Negative,Negative
"gamenya bagus karena konsep utamanya terasa sangat baru dibanding game lain sejenisnya--desain karakter keren dan ""baru""--konsep story yang rapi namun tetap seru nan kompleks--pengalaman build karakter sangat mudah, karena banyak cara untuk upgrade build karakter, terutama soal farming disk--dan meta masih terbilang ramah untuk F2P/Low Spender--saya update jadi 5* karena sudah ga pernah force close lagi dan thanks atas reward tahun baru nya, terima kasih dev",bagus konsep utama banding sejenisnyadesain karakter keren barukonsep story rapi seru nan komplekspengalaman build karakter mudah upgrade build karakter farming diskdan meta bilang ramah fplow spendersaya update force close thanks reward tahun terima kasih dev,Positive,Negative
Hoyoverse kapan ada dubbing Indonesia di game mu ini?,hoyoverse dubbing indonesia mu,Positive,Negative
Semenjak update terbaru entah mengapa saat memulai game rasanya berat sekali ni game padahal sebelumnya nggak ada patah patah malah sangat lancar. kalo masalahnya ke device saya bermain genshin impact disetingan rata kanan dan tidak ada kendala lag sama sekali. Tolong ini bisa diperbaiki segera,semenjak update baru berat patah patah lancar device main genshin impact ting rata kanan kendala lag tolong baik,Negative,Negative
"Tanggal 4 jam 9/10 WIB Baru bisa di mainin, jangan spam bintang 1",tanggal jam wib mainin spam bintang,Negative,Negative
Game tai,tahi,Negative,Negative
"yes, Seed is cute, tapi game nya agak bikin boring, mirip game Honkai Impact 3, tapi yang ini kerasa lebih bikin boring, fitur perfect assist nya emang enak mirip ngeparry serangan musuh, hanya saja ada mode TV, emang mode nya santai tapi kalo targetnya panjang dan lama bakal bikin bosen, trus angka damage, untuk mengetahui itu crit damage atau damage normal agak susah buat di ketahui karena angka damage terlihat sama, buat physic jiggle saya suka, itu point utama dalam game ini",yes seed is cute bikin boring honkai impact rasa bikin boring fitur perfect assist ngeparry serang musuh mode tv mode santai target bikin bosan angka damage crit damage damage normal susah tahu angka damage physic jiggle suka point utama,Negative,Negative
Terlalu berat chipset 860 harus nya main di setingan low udah ringan tapi ini ga ngaruh dan main beberapa menit udah lag parah mana dah pake cooler ga ngaruh juga,berat chipset ting low ringan ngaruh menit lag parah deh pakai cooler ngaruh,Negative,Negative
"Please deh pra-unduh nya jgn kegedean, masa versi skrng pra-unduh nyampe 17GB lbh. Pdhl saya suka story game-nya! Tp size-nya sangat mengecewakan. Terlalu besar.",please deh praunduh gede versi praunduh gb suka story sizenya kecewa,Negative,Negative
Panjang umur game baik🥰🥰,umur,Negative,Negative
"Gamenya sih bagus, grafik juga oke, lancar juga gada lag dan minim drop fps, dropnya juga cuma ke 45fps. Minusnya gampang bikin males bagi gw + agak kikir😂",bagus grafik oke lancar lag minim drop fps drop fps minus gampang bikin malas kikir,Negative,Negative
"ternyata cara main nya sama seperti honkai impact 3rd yaa,aku kirain petualang open world tanpa batas kayak game Genshin Impact,kurang tertarik sih, baru download langsung aku uninstall lagi setelah tau cara main game nya dari YouTube,TPI masih mending ketimbang star rail yang berbasis giliran,gak rame walaupun bnyak karakter yang baik sihh",honkai impact rd yaku tualang open world batas genshin impactkurang tarik download uninstall tau youtubetpi mending ketimbang star rail bas gilirangak rame karakter,Negative,Negative
saya bermain game zenless zone zero pada saat mengerjakan story zenless zone zero 2.3 saya mengalami freeze pada saat mengerjakan story zenless zone zero mohon segera tangani ya pihak hoyoverse,main zenless zone zero story zenless zone zero alami freeze story zenless zone zero tangan hoyoverse,Negative,Negative
"after update, hp cepat panas",after update hp cepat panas,Negative,Negative
"Yang aku suka dari Z3 itu karena storyline-nya yang fresh. Di tengah dunia fantasi yang penuh keajaiban dan sihir, Z3 datang dengan konsep dunianya yang berupa urban city",suka storylinenya fresh tengah dunia fantasi penuh ajaib sihir konsep dunia urban city,Positive,Negative
Ini ngak ada rate on yah? Soalnya pas gacha ellen di pity 80 kok ngak dapet!,rate on pas gacha ellen pity,Positive,Negative
"Pas ingame mah lancar² aj kaya battle trus gacha dan sebagainya, cuma ya itu mapny HITAM bjir...",pas ingame mah lancar battle gacha mapny hitam bjir,Negative,Negative
Rate gacha ampas,rate gacha ampas,Negative,Negative
"Untuk saat ini B4 dulu. Untuk FPS tolong dioptimalkan lagi masih sering drop FPS, padahal di game kakak-kakaknya lancar (grafik tinggi 60 fps) sedangkan ini grafik medium 60fps sering drop. Semoga bisa dioptimalkan lagi, dan JANGAN KIKIKIR YAAA GAME BAIKKK..... 😁",fps tolong optimal drop fps kakakkakaknya lancar grafik tinggi fps grafik medium fps drop moga optimal kikikir,Negative,Negative
"Saran untuk optimalisasi untuk beberapa device walau mempunyai spesifikasi yang memumpuni tapi suka terjadinya limit di 20fps, saya menggunakan dimensity 8350 Ultimate untuk bermain hanya sebentar stabil nya padahal hp pun tidak panas / hangat karna saya pakai cooler, sudahdi hapus chace dan file vulkan bisa membantu tapi nanti akan kembali tidak stabil game nya",saran optimalisasi device spesifikasi mumpuni suka limit fps dimensity ultimate main sebentar stabil hp panas hangat pakai cooler sudahdi hapus chace file vulkan bantu stabil,Negative,Negative
"Setelah update di play store tidak bisa memasuki permainan ini,di katakan bahwa perangkat tidak kompatibel..maaf🙏,padahal permainan ini lancar saat versi sebelumnya",update play store pasuk main inidi perangkat kompatibelmaafpadahal main lancar versi,Negative,Negative
Untuk game ini tolong loading game nya cepetin biar saya bisa main aku liat liat game nya keliatan seru tapi loading nya lama banget sampe Ampe bisa nunggu 2jam kalo gak 1jam lebih udah itu aja teruntuk Dev nya tolong ya maaf atas kerepotanya,tolong loading cepetin biar seru loading tunggu jam jam untuk dev tolong maaf kerepotanya,Negative,Negative
Minimal dialog gerak dikit minimal prolog di animasikan apa coba suruh baca komik 18Gb download cuman dpt komik?? 18gb itu buat render tektek,minimal dialog gerak dikit minimal prolog animasi coba suruh baca komik gb download cuman komik gb render tektek,Negative,Negative
terimakasih game baik walau akun ku selalu hard pity + blm pernah menang rate off yasudah lah,terimakasih akun ku hard pity menang rate off yasudah,Negative,Negative
kikir nih game tiap rate off terus aja rate off ga pernah menang sama kaya genshin di awal awal rilis,kikir rate off rate off menang genshin rilis,Negative,Negative
"Terjadi masalah pada cutscane story utama yang dimana hilangnya BGM di bagian cutscane tersebut sedangkan voice over karakter di dalam cutscane tersebut masih ada. Hal tersebut membuat saya jadi males buat lanjutin story utamanya ini, karena saat terjadi cutscane epik saya hanya bisa mendengar karakter di dalam cutscane tersebut bicara sedangkan bagian BGM ini tidak ada sama sekali dan saya sudah coba download ulang untuk bagian data dari game ini namun masih sama saja",cutscane story utama mana hilang bgm cutscane voice over karakter cutscane malas lanjut story utama cutscane epik dengar karakter cutscane bicara bgm coba download ulang data,Negative,Negative
dev...saran dikit nih buat beberapa tempat yg ada efek miasmanya di optimalin lagi dong atau untuk beberapa efek battle yg luar biasa Jedar jedor itu juga butuh peng optimalan gw udah yg paling bawah grafiknya perasaan masih ada aja frame drop nya pliss ya Dev cakep banget nih game gw ngikutin dari awal rilis btw🗿🗿🗿,devsaran dikit efek miasma optimalin efek battle jedar jedor butuh peng optimal grafik asa frame drop pliss dev cakep ikut rilis btw,Negative,Negative
minn ko aku gdpt bansos gacha baner limit min😿😿 tolong dong minn,minn gdpt bansos gacha baner limit min tolong minn,Negative,Negative
Yang sering login gak bisa atau macet di login optimasi . Brrti devicemu aja yang kurang memadai . Di gua pc hp lancar2 aja . Dan untuk optimasi itu biar gamenya tetep bagus dan minim bug . Hadehh ngeluh mulu,login macet login optimasi devicemu pada gua pc hp lancar optimasi biar bagus minim bug hadehh ngeluh mulu,Negative,Negative
Map hitam,map hitam,Negative,Negative
"Optimalisasi kurang, Snapdragon 7 gen 3 sudah tidak kuat. Padahal dengan area dan peta yang tidak terlalu luas harusnya bisa lebih baik.",optimalisasi snapdragon gen kuat area peta luas,Positive,Negative
panjang umur game baik🥰,umur,Negative,Negative
Mohon maaf saya memberi rating 3. Setelah update patch di beberapa perangkat smartphone mengalami patah2 saat battle. Mohon untuk segera di tangani 🙏🏼🙏🏼🥲🥲,maaf rating update patch perangkat smartphone alami patah battle tangan,Negative,Negative
Kenapa gacha saya ampas di gim hoyo? 😔,gacha ampas gim hoyo,Negative,Negative
Saya stuck di loading 70% dan crash padahal device saya bagus,stuck loading crash device bagus,Negative,Negative
"Five star deserved to the developer, this latest update is way batter than before",five star deserved the developer this latest update is way batter tahan before,Negative,Negative
Buat yg bermasalah kemungkinan karena spek hp klen atau settingan grafik klen,masalah spek hp settingan grafik,Negative,Negative
"Banyak banget bug nya, baru sehari main langsung hapus. Baru tau hoyo bisa bikin game gagal, perbaikin lagi!!",bug hari hapus tau hoyo bikin gagal baik,Negative,Negative
"besar banget donwload datanya, 18gb😭😭😭",donwload data gb,Negative,Negative
"game nya seru dan asik, dari segi cerita, grafik, VA, subtitle, animasi, dll itu sudah bagus dan memuaskan. Saya juga belum pernah menemukan bug"" juga. saran dari saya sih utk dapetin bahan"" utk upgrade karakter/w-engine/skill di permudah karena saya merasa agak pelit soalnya ada batre yg isinya lama ditambah bahan yg didapatkan hanya sedikit jadi makin lama. Sama perbanyak event berhadiah polychrome supaya rajin gacha wkwk. Satu lagi mode explore yang TV"" itu sangat membosankan bagi saya.",seru asik segi cerita grafik va subtitle animasi dll bagus muas temu bug saran bahan upgrade karakterwengineskill mudah pelit batre isi tambah bahan dapat banyak event hadiah polychrome rajin gacha wkwk mode explore tv bosan,Negative,Negative
Coba dulu,coba,Negative,Negative
"saya tidak bisa login kembali ke akun saya yang bernama Fujimiya karena email yang terkait telah di hack oleh seseorang, apakah ada cara lain agar bisa login kembali min?🙏",login akun nama fujimiya email kait hack login min,Negative,Negative
loading screen ny cukup lama dan agak framedrop pas battle tolong optimalisasi pada android,loading screen framedrop pas battle tolong optimalisasi android,Negative,Negative
"Jangan main ini game. Udah gacha busuk, penuh dengan scam.",gacha busuk penuh scam,Negative,Negative
"bansos banyak tapi gatchanya busuk banget, mentok pity mulu",bansos gatchanya busuk mentok pity mulu,Negative,Negative
"Yatuhan, gk kuat 64gb buat nampung 15gb lagi, padahal mau Ellen😭",yatuhan kuat gb nampung gb ellen,Negative,Negative
"sejauh ini sudah sangat bagus, mulai dari keunikan yang berbeda dari game hoyoverse yang lain dan mekanisme yang beragam, semua sudah bagus, untuk saran, kedepannya diharapkan semoga menambah konten-konten penjelajahan atau mempermudah mencari material tertentu, karena menurut saya sebagai pemain yang sudah mencapai akhir cerita saat ini, sangat susah mencari bahan material untuk mengembangkan agen, mungkin itu saja untuk saat ini, pokoknya overall sudah bagus, good job hoyoverse!!",bagus uni beda hoyoverse mekanisme agam bagus saran depan harap moga tambah kontenkonten jelajah mudah cari material main capai cerita susah cari bahan material kembang agen pokok overall bagus good job hoyoverse,Negative,Negative
"Tolong tombol untuk menghindar agak delay, jadi tolong diperbaiki",tolong tombol hindar delay tolong baik,Negative,Negative
"tolong jangan kayak gini hoyo, design karakter kalian istimewa mau pun cewek atau cowok, tapi seimbangkanlah perilisan karakter cowok rank S padahal itu yang membuat game kalian populer di dalam cerita maupun event tertentu 😞",tolong hoyo design karakter istimewa cewek cowok imbang rilis karakter cowok rank populer cerita event,Negative,Negative
"Tolong turunin size gamenya :( besar banget bahkan lebih besar dari honkai star rail dsb... Tolong zenlesss mihoyo , biar bisa main terusan aku",tolong turunin size honkai star rail dsb tolong zenles mihoyo biar terus,Negative,Negative
Suka combatnya sih untuk cerita saya ga terlalu menikmati soalny sibuk kerja juga ga fokus ke cerita,suka combatnya cerita nikmat soalny sibuk fokus cerita,Negative,Negative
"maaf nih kok semenjak update ini game malah sering frame drop, padahal sebelumnya dengan setingan yg sama aman aman aja bahkan saat fight juga aman, tolong perbaiki",maaf semenjak update frame drop ting aman aman fight aman tolong baik,Negative,Negative
ribet mesti jalankan misi harian,ribet mesti jalan misi hari,Negative,Negative
Sistem di gacha selalu bikin sakit hati udah lelah lelah ngumpulin buat gacha character pasti kalah rate off dan juga pitynya selalu di 77 keatas semua,sistem gacha bikin sakit hati lelah lelah ngumpulin gacha character kalah rate off pitynya atas,Negative,Negative
Jembut rate gacha sangat ampas,jembut rate gacha ampas,Negative,Negative
game tolol,tolol,Negative,Negative
Story ampas banget sumpah,story ampas sumpah,Negative,Negative
"asli ni akun w Napa hoyo, kalah rate off 3x berturut turut, gda fitur kek capturing kah, sumpah keras banget. ga hsr ga ini sama sama busuk akun w, sumpah hoyo kasih menang rate off lah, cape kalah Mulu, nyiksa batin doang dah lah",asli akun hoyo kalah rate off fitur capturing kah sumpah keras hsr busuk akun sumpah hoyo kasih menang rate off capek kalah mulu nyiksa batin doang deh,Negative,Negative
jadi ke inget main persona 5 royal tampilan dan animasinya🥰🥰,persona royal tampil animasi,Negative,Negative
"tolong jangan fokus di konten atau event nya saja, peforma game nya di pikirkan lah ini buruk sekali terkadang force close sendiri di beberapa device, banyak teman temanku bilang gamenya buruk peforma",tolong fokus konten event forma pikir buruk terkadang force close device teman teman bilang buruk forma,Negative,Negative
"Tolong diperbaiki, untuk sekarang saya tidak bisa bermain dengan lancar. FPS maksimal kena di 27 padahal kemaren sebelum update kena di 60",tolong baik main lancar fps maksimal kemarin update,Negative,Negative
Capek rate off di high Pity mulu langsung males main lagi berujung uninstall I'm really tired of collecting 80 master tapes in case it ends up being a rate off,capek rate off high pity mulu malas ujung uninstall im really tired of collecting master tapes case ends up being rate off,Negative,Negative
"Animasi bagus,story bagus,battlenya apalagi bagus bgt.Tapi sayang mood main udah ilang duluan gara2 kebanyakan eksplorasi tv.terlalu banyak animasi,npc nya juga kebanyakan ngomong.player mau gerak terbatasi banget,lebih kebanyakan disuruh nonton animasi2 sama npc ngobrol gak penting ketimbang kita yg main.Kita instal ini game buat dimainin,bukan buat ditonton.Ntah apa isi fikiran dev nya,udah di protes dari tahap beta masih aja di bagian tv kebanyakan ngobrol sama animasi.",animasi bagusstory bagusbattlenya bagus bgttapi sayang mood hilang duluan gara banyak eksplorasi tvterlalu animasinpc banyak ngomongplayer gerak batas bangetlebih banyak suruh tonton animasi npc obrol ketimbang mainkita instal dimaininbukan ditontonntah isi pikir dev nyaudah protes tahap beta tv banyak obrol animasi,Negative,Negative
"Tolong Saat Update Kedepannya, buat game ini lebih ringan, agar ramah untuk banyak orang dan ramah untuk berbagai device, dan tolong agar kedepannya zzz tidak memakan banyak ruang penyimpanan, bisa dibuat fitur atau apa yang mengecilkan size game ini, tapi yang paling penting adalah game ini dibuat lebih ringan, Sekian Terima Kasih.",tolong update depan ringan ramah ramah device tolong depan makan ruang simpan fitur kecil size ringan sekian terima kasih,Negative,Negative
gem nya tidak bagus karena pas masuk Layar nya hitam semua,gem bagus pas layar hitam,Positive,Negative
Game boring,boring,Negative,Negative
"gak sesuai banner gacha nya terus-terusan , malah makin berat lg.",sesuai banner gacha terusterusan berat,Negative,Negative
"woy hoyo halaman login google/Facebook nya di gw kok empty padahal di salah satu akun google nya udah bagus semua, tolong gimana cara ngatasinnya",woy hoyo halaman login googlefacebook empty salah akun google bagus tolong ngatasinnya,Negative,Negative
Untuk kedepannya saran saya tambahin fitur pose karakter saat di ajak foto donk biar gak cuman jadi patung doank itu sih yang saya inginkan ohh iya kalau bisa semoga ada kostum nikahnya miyabi dan coba buat fairy ada tubuh manusianya donk min soalnya gw cinta banget sama fairy apalagi fairy tipe gw banget soalnya gw suka yang besi besi hahaha semoga di baca yah makasih👏❤️,depan saran tambah fitur pose karakter ajak foto biar cuman patung doang oh iya moga kostum nikah miyabi coba fairy tubuh manusia min cinta fairy fairy tipe suka besi besi hahaha moga baca terima kasih,Positive,Negative
"Ini geme bagus bangat sih,aku tau karna yutuber minikraft baww ,ku kasih bingtang 5 semoga kedepan nya lebih banyak karakter dan mep nya😊",geme bagus sihaku tau yutuber minikraft baww ku kasih bingtang moga depan karakter mep,Positive,Negative
"Gamenya bagus tapi gasesuai ekspektasi aja, kupikir ini game open world seperti genshin , eh ternyata engga",bagus gasesuai ekspektasi pikir open world genshin eh,Negative,Negative
setelah update 2.0 kenapa main di hp cepet panas ya,update hp cepat panas,Negative,Negative
Tolong dong di optimalkan lagi buat perangkat yg ram 4 sama tolong ukuran nya Jangan di gede gedein lagi udah cukup segitu saja 🙏🏻,tolong optimal perangkat ram tolong ukur gede gedein segitu,Negative,Negative
Ada bug black screen bwang,bug black screen bwang,Negative,Negative
"Game nya bagus kok tapi ada yang kurang layar awal nya tolong diperbaiki yah soal nya kemarin aku pas masuk tiba tiba lag aku matiin hp nya tiba tiba gak bisa nyala hp nya pas dinyalain cuman ada cahaya hp ane tolong diperbaiki yaahhh, tapi bagus kok game nya aku kasih 5 bintang 👌,,eehhh tapi sekarang aku gak bisa masuk pas loading tiba2 keluar,,😭😭😭😭kok aneh gw gak bisa main game di hp ku ngebag,,,, tolong diperbaiki pls yaahh 😭😭😭.",bagus layar tolong baik kemarin pas lag matiin hp nyala hp pas dinyalain cuman cahaya hp ane tolong baik bagus kasih bintang eeh pas loading keluarkok aneh hp ku ngebag tolong baik pls,Negative,Negative
"cukup bagus, dan gampang buat ngumpulin ticket gacha, tapi game ini membuat HP ku cepat panas saat game ini dimainkan, tolong optimalkan suhunya, jangan buat terlalu panas dan berat",bagus gampang ngumpulin ticket gacha hp ku cepat panas main tolong optimal suhu panas berat,Negative,Negative
"aku turunin bintangnya, GPU PowerVR memang seampas itu kah? chipset udah kenceng Dimensity 7025 ultra, cuman gara gara GPUnya TOLOL jadi kena limit texture sama Frame drop mulu, tolong segera diperbaiki ya min, biar semua kalangan bisa menikmati game kalian",turunin bintang gpu powervr ampas kah chipset kencang dimensity ultra cuman gara gara gpunya tolol limit texture frame drop mulu tolong baik min biar kalang nikmat,Negative,Negative
"Gamenya bagus, tpi terlalu pay to win masa sihh aku spin dptnya di hard pity truss, beneran harus sampe yg jaminan dpt SSR tier char yakali lahh, hidupku tu bukan cuman buat main game doang aku juga ada kegiatan lain yakali aku harus nolep cuman buat dptin 1 char doang hbis tu pas udh dpt jaminan dikasih char yang tdk sesuai banner kan taii",bagus pay win spin dapat hard pity truss benar jamin ssr tier char yakali hidup cuman doang giat yakali nolep cuman dptin char doang habis pas jamin kasih char sesuai banner taii,Negative,Negative
KASIH AJA HARD PITY TERUS. PADAHAL GUA SERING SPEND. DARI AWAL MAIN SAMPEK BANNER SKRNG GAADAAA WIN RATE OFFF 1X WIN AJA GAADA AMA SEKALI. MAKSUD LU PAAN SISTEM GACHA SEAMPAS INI. GAJELAS SISTEM GACHA LU HOYO. UDAH KENA HARD PITY TERUS GA PERNAH WIN. SISTEM GACHA AMPASSSSSSSSSSSSSSSS. CAPEK. EMNG DARI DULU SISTEM GACHA LU AMPAS GA DI GENSHIN. HSR. AMPASIN AJA SEMUA. UDAH MUAAKKKKKKKKKKKKK,kasih hard pity gua spend banner win rate of win paan sistem gacha ampas sistem gacha hoyo hard pity win sistem gacha ampas capek sistem gacha ampas genshin hsr ampasin muaak,Negative,Negative
"I watched the latest video, tf new design outfit lady sun bro😭 Why does the design of the chest area have to be visible? Does it always have to be fanservice, huh? Please redesign it🥺🙏",watched the latest video tf new design outfit lady sun bro why does the design of the chest area have be visible does always have be fanservice huh please redesign,Negative,Negative
"Story nya bagus, banyak minigame menarik ama misi sampingan yang gak ngantuk. tapi ya gitu, sistem gacha nya. udah grinding mati matian dapet nya malah karakter tier S yang sama sekali gak kubutuhkan, nyari polychrome disini susah nya bukan main, bener bener harus tryhard parah buat dapetin polychrome yang banyak. Event juga kebanyakan boring ama gak menarik, cuma sebagian doang yang seru. udah gitu design char yang sekarang juga parah, gak kayak char terdahulu yang nyatu ama tema di game.",story bagus minigame tarik misi samping ngantuk sistem gacha grinding mati mati karakter tier butuh cari polychrome susah tryhard parah polychrome event banyak boring tarik doang seru design char parah char nyatu tema,Negative,Negative
untuk segi story udah bagus cukup bagus ....di divice ram 6 udah cukup worthit walau pun saat ultimate sedikit frame drop....kendala utama kenapa cahce dari story lama klo di hapus pas login lagi dia ke download lagi yah? tolong developer untuk data story lama nya bisa di hapus atau di download sesuai player nya dong. soalnya saat di hapus pas login lagi dia dowload lagi berhubungan storagenya yang lumayan gede loading screen nya juga lama. dimohon developer untuk meminimalkan penyimpanan👏,segi story bagus bagus divice ram worthit ultimate frame dropkendala utama cahce story hapus pas login download tolong developer data story hapus download sesuai player hapus pas login dowload hubung storagenya lumayan gede loading screen mohon developer minimal simpan,Negative,Negative
teruntuk hp kentang di usahakan jangan download ini game! yang bisa menyebabkan koar2 kasih bintang 1 padahal hp eluh nya aja kentang tll.,untuk hp kentang usaha download sebab koar kasih bintang hp eluh kentang tll,Negative,Negative
Game sangat buruk tidak dapat di mainkan ghensin impact aja yang 25 gb lebih masih suport untuk di mainkan sedangkan sampah ini tidak dapat dj mainkan sama sekali,buruk main ghensin impact gb suport main sampah dj main,Negative,Negative
"Baru beli hp baru trus download game ini dan setting rata kanan, Damnn hoyo sedang memasak 🔥🔥🔥",beli hp download setting rata kanan damnn hoyo masak,Negative,Negative
"Baru juga main udah bug, map hitam semua ga keliatan apa apa, tolong di fix secepatnya",bug map hitam tolong fix cepat,Negative,Negative
"woi baikin servernya lah, masa gw login google/FB muter mulu",woi baikin servernya login googlefb muter mulu,Negative,Negative
"baru install, gacha banner Hanabi & langsung dikasih rate off di 80 kali pull, langsung uninstall Wak🙈",install gacha banner hanabi kasih rate off pull uninstall wak,Negative,Negative
1.4 is beyond absolute cinema. Big improvement for all aspect. Thanks for adding dating simulator.,is beyond absolute cema big improvement for all aspect thanks for adding dating simulator,Negative,Negative
"Harapan saya untuk game ini adalah perbanyak lagi karakter nya dan ceritanya, dan dibuat agar kita bisa bermain bersama teman untuk melawan bos"" Nya, serta adanya fitur chat dengan teman dalam battle sehingga lebih mudah untuk mabar, itu aja sih menurut saya, selebihnya ini game keren banget, dan tidak ngebosenin",harap banyak karakter cerita main teman lawan bos fitur chat teman battle mudah mabar lebih keren ngebosenin,Negative,Negative
game ini peak sekali bansos besar walaupun hoki hokian kalau gacha nya tapi overall dari segi fight bagus smooth banget cerita prolog lumayan lama tapi oke banget dialog nya gak kaku bagus lah untuk bos sesuai kemampuan masing-masing kalau lu ngestack atau gak bisa kalah kan bos nya itu bukan bos nya yang op tapi lu nya aja yang skill issue overall game ini bagus banget,peak bansos hoki hoki gacha overall segi fight bagus smooth cerita prolog lumayan oke dialog kaku bagus bos sesuai mampu masingmasing ngestack kalah bos bos op skill issue overall bagus,Negative,Negative
makin hari makin berat buat dimainkan di handphone. Piper soukaku ju fufu,berat main handphone piper soukaku ju fufu,Negative,Negative
stuck saat update versi terbaru,stuck update versi baru,Negative,Negative
Bikin Ngantuk gamenya,bikin ngantuk,Negative,Negative
"min kenapa versi terbaru malah berat banget, terlalu makan ram pdahal ram 12gb tapi saat d ingame tiba2 suka ngcrash, tolong perbaiki min",min versi baru berat makan ram ram gb ingame suka ngcrash tolong baik min,Negative,Negative
"Lebanyakan dialog ngantukkk,",lebanyakan dialog ngantuk,Negative,Negative
Untuk segi grafik sama gameplay emang bagus dan menarik tetapi ada kekurangan nya nyaitu sering keluar sendiri saat dimain kan tolong pihak developer segera diperbaiki secara cepat karena bisa mempengaruhi segi gameplay dari para player yang sedang bermain,segi grafik gameplay bagus tarik kurang nyaitu main tolong developer baik cepat pengaruh segi gameplay player main,Negative,Negative
baru anniversary 1 tapi sangat buruk di pra-unduh malah nge stack gmn sii updatenya malah makin kacau,anniversary buruk praunduh nge stack updatenya kacau,Negative,Negative
